"生产日期
Production Date","内部机型
Internal Model","类型
Type","总部
HQ","主板板型
Mainboard model",MODELO+PCB,"组件号
MB part number","总BOM数量
Material QTY","手插件数
Hi material QTY","手插率
Hand insertion rate","芯片方案
Chip Solution",内置TCON,"液晶屏物料号
LCD Part No.","液晶屏型号描述
LCD Description","液晶面板
SKD panel","屏幕厂家
LCD Brand","屏接口类型
LCD interface type",TOOL,TOOL SW,"转接板
Converter",TCON,FFC,"通用远程拾音板
MIC Board","远程拾音线
MIC cable","多合一端子板（非远程拾音）
all-in-one board（non MIC）","多合一端子板连接线
all-in-one board cable",备注/Remarks,配套远程拾音板,WiFi模块,WiFi模块描述,,,
2024/2/28,75U86LUA,REFLOW,HuangDao,13493,75U86LUA13493,355395,/,/,/,MT9603EAATAC,是,357140,液晶屏\HD750H6U72-T0L4K4\S0\GM\ROH,液晶屏面板\HV750QUB-E91 REV2.0\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"356267
TCON-ZJ贴片单元\RSAG2.908.12847-07TP\ROH",68pin(1250761),"1316613
远程拾音模组\HS-2D20\ROH","1400584
高速信号线\FFC-L-10-KP-830-Z4\830\/\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2024/2/28,55A51HUA(1037),3 IN 1,HuangDao,13684,55A51HUA(1037)13684,357494,704,29,4.12%,MT9603EAATAC,是,400412,液晶屏\HD550H1U71-T0LF\S1\GM\ROH,液晶屏面板\HF550QUB-F20\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"327316
TCON-ZJ贴片单元\RSAG2.908.12804TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1319624
高速信号线\FFC-L-10KP-300-Z2\300\ROH",,,Colombia model,,,,,,
2024/2/28,50A51HUA(1037),3 IN 1,HuangDao,13684,50A51HUA(1037)13684,356944,704,29,4.12%,MT9603BAATAC,是,400163,液晶屏\HD500H1U51-T0LA\S2\GM\ROH,液晶屏面板\T500QVN04.1\JK\GM\ROH,友达(AUO),1*60pin(PTP),4K VB1,/,11477,"355357
TCON-ZJ贴片单元\RSAG2.908.11133-27TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1319624
高速信号线\FFC-L-10KP-300-Z2\300\ROH",,,Colombia model,,,,,,
2024/2/28,50A51HUV(1000),3 IN 1,HuangDao,13684,50A51HUV(1000)13684,356942,650,29,4.46%,MT9026EAATBC,是,341853,液晶屏\HD500H1U91-T0\S1\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(FB0301018427),,,,,,"343483
远场板组件\RSAG2.908.12678-06\ROH",,,,,
2024/3/4,32A35HUV(0012),3 IN 1,JiangMen,13932,32A35HUV(0012)13932,357591,580,24,4.14%,主控IC\NT72690TBG-8C2K/W\TP\ROH,是,355334,液晶屏\JHD315H1H01-T0L1B1\S1\ROH\广,液晶屏面板\V320BJ9-Q01-CA\ROH,群创(INX),1*60pin(Mini LVDS),MINI LVDS,Mini16,ZH_MINI_HD_3,/,60pin(FB0301004928),,,,,,"343483
远场板组件\RSAG2.908.12678-06\ROH",,,,,
2024/3/4,58A51HUV(1000),3 IN 1,HuangDao,13696,58A51HUV(1000)13696,401021,721,28手插+8机插,#VALUE!,MT9026EAATBC,否,333232,液晶屏\HD580Y1U92-TALA\S0\GM\ROH,液晶屏面板\CV580U1-T01-V02\JK\GM\ROH,惠科(HKC),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,macroluck,"343483
远场板组件\RSAG2.908.12678-06\ROH",,,,,
2024/3/7,55C350LU,3 IN 1,HuangDao,TPD.T962X3.PC702（T）C22318/Fire TV,55C350LUTPD.T962X3.PC702（T）C22318/Fire TV,CVTE,/,/,/,MT9603EAATAC,是,332112,液晶屏\HD550Y1U51-T0LD\S0\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"313373
TCON-ZJ贴片单元\RSAG2.908.11133-21TP\ROH",68pin(1250761),,,,,,,,,,,
2024/3/7,65U75LUA,REFLOW,HuangDao,13493,65U75LUA13493,354741,/,/,/,MT9603BAATAC,是,400231,液晶屏\HD650H3U51-T0LN\S0\GM\ROH,液晶屏面板\T650QVN07.H\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"331379
TCON-ZJ贴片单元\RSAG2.908.12963TP\ROH",68pin(1250761),"1316613
远程拾音模组\HS-2D20\ROH","1319050
高速信号线\FFC-L-10-KP-540-Z3\540\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2024/3/7,50A51HUR,3 IN 1,HuangDao,13662,50A51HUR13662,400027,723,30,4.15%,MT9603BAATAC,是,352847,液晶屏\HD500H1U51-T0L2\S0\GM\ROH,液晶屏面板\T500QVN04.1\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"307360
TCON-ZJ贴片单元\RSAG2.908.11133-16TP\ROH",68pin(1250761),,,,,,,,,,,
2024/3/9,65A51HUA(0037),REFLOW,HuangDao,13538,65A51HUA(0037)13538,354870,/,/,/,MT9603EAATAC,是,357232,液晶屏\HD650H1U51-T0LHB6\S1\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"354590
TCON-ZJ贴片单元\RSAG2.908.13027-07TP\ROH",68pin(1250761),,,,,,,,,,,
2024/3/13,50A51HUA(0037),3 IN 1,HuangDao,13684,50A51HUA(0037)13684,357600,646,27,4.18%,主控IC\MT9603EAATAC\TP\JK\ROH,是,400155,液晶屏\HD500H1U51-T0LHK2\S0\GM\ROH,液晶屏面板\T500QVN04.1\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"355357
TCON-ZJ贴片单元\RSAG2.908.11133-27TP\ROH",68pin(1250761),,,,,,,,,,,
2024/3/13,85U66GUA(0006),REFLOW,HuangDao,13518,85U66GUA(0006)13518,351436,/,/,/,MT9603BAATAC,否,351013,液晶屏\HD850Y3U51-TBLBM2\S0\GM\ROH,液晶屏面板\T850QVN03.4\JK\GM\ROH,友达(AUO),51pin(VB1),4K VB1,/,/,"351457
TCON板贴片单元\RSAG2.908.13019-01TP\ROH",51pin(FB0301004900),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1314020
高速信号线\FFC-L-10-KP-765-Z2\765\ROH",,,,,,,,,
2024/3/22,75A51HUA(1037),REFLOW,HuangDao,13538,75A51HUA(1037)13538,356798,/,/,/,MT9603EAATAC,是,400377,液晶屏\HD750H1U72-T0LFK1\S1\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"308910
TCON-ZJ贴片单元\RSAG2.908.10545-09TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1318911
高速信号线\FFC-L-10-KP-370-Z2\370\ROH",,,Colombia model,,,,,,
2024/3/22,65A51HXVT,REFLOW,HuangDao,12881,65A51HXVT12881,339317,/,/,/,主控IC\MT9602RAATAC\TP\JK\ROH,是,339199,液晶屏\HD650Y1U41-T0BY\S0\FM\ROH,液晶屏面板\JR645R3HA3L\EC\FM\ROH,夏普(SDP),1*68pin(PTP),4K VB1,/,11477,"324295
TCON-ZJ贴片单元\RSAG2.908.12673-01TP\ROH",68pin(1250761),,,,,Colombia model,333401 远程拾音MIC板组件\RSAG2.908.12678\ROH,,,,,
2024/3/29,85A53HUA(0037),REFLOW,HuangDao,13538,85A53HUA(0037)13538,356702,/,/,/,MT9603EAATAC,否,357236,液晶屏\HD850H1U51-TBLF\S0\GM\ROH,液晶屏面板\T850QVN03.4\JK\GM\ROH,友达(AUO),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,Colombia model,"343483
远场板组件\RSAG2.908.12678-06\ROH",,,,,
2024/3/29,65A51HUV(1000),REFLOW,HuangDao,13538,65A51HUV(1000)13538,401326,/,/,/,MT9026EAATBC,是,357230,液晶屏\HD650H1U73-T0L1B7\S0\GM\ROH,液晶屏面板\HV650QUB-F72\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"343804
TCON-ZJ贴片单元\RSAG2.908.11538-07TP\ROH",68pin(1250761),,,,,,,,,,,
2024/4/4,50A51HUA,3 IN 1,HuangDao,13684,50A51HUA13684,352075,640,27,4.22%,MT9603BAATAC,是,353063,液晶屏\HD500H1U91-T0LE\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(FB0301004928),,,,,,333401 远程拾音MIC板组件\RSAG2.908.12678\ROH,,,,,
2024/4/4,55A51HUV(1000),3 IN 1,HuangDao,13684,55A51HUV(1000)13684,400558,657,29,4.41%,MT9026EAATBC,是,401074,液晶屏\HD550H1U51-T0L4K5\S0\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"305807
TCON-ZJ贴片单元\RSAG2.908.11133-13TP\ROH",68pin(1250761),,,,,,,,,,,
2024/4/4,55A60LXVT,3 IN 1,HuangDao,13696,55A60LXVT13696,353455,742,30手插+8机插,#VALUE!,MT9026EAATBC,是,356954,液晶屏\HD550H1U62-T0L4K3\S1\FM\ROH,液晶屏面板\PT550GT08-1\FM\ROH,惠科(HKC),1*68pin(PTP),4K VB1,/,11477,"334653
TCON-ZJ贴片单元\RSAG2.908.13134TP\ROH",68pin(1250761),,,,,Colombia model,333401 远程拾音MIC板组件\RSAG2.908.12678\ROH,,,,,
2024/4/4,50A60LXVT,3 IN 1,JiangMen,13696,50A60LXVT13696,402335,746,28手插+8机插,#VALUE!,主控IC\MT9603BAATAC\TP\ROH,是,404442,液晶屏\HD500H1U91-T0K3\S0\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(FB0301018427),,,,,Colombia model,,,,,,
2024/4/14,55A51HUA,3 IN 1,HuangDao,13684,55A51HUA13684,401129,646,27,4.18%,MT9603BAATAC,是,357291,液晶屏\HD550H1U51-T0L1\S1\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"305807
TCON-ZJ贴片单元\RSAG2.908.11133-13TP\ROH",68pin(1250761),,,,,,,,,,,
2024/4/14,65A51HUA,REFLOW,HuangDao,13538,65A51HUA13538,354870,/,/,/,MT9026EAATBC,是,357216,液晶屏\HD650H1U51-T0L1K2B6\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"354590
TCON-ZJ贴片单元\RSAG2.908.13027-07TP\ROH",68pin(1250761),,,,,,,,,,,
2024/4/14,58A51LUR,3 IN 1,HuangDao,13662,58A51LUR13662,357345,711,30,4.22%,MT9603EAATAC,是,402441,液晶屏\HD580H1U91-T0L1\S0\GM\ROH,液晶屏面板\CV580U4-L01-V01\JK\GM\ROH,彩虹光电(CHOT),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2024/4/14,85A60LXVT,REFLOW,HuangDao,13538,85A60LXVT13538,401668,/,/,/,MT9603BAATAC,否,404249,液晶屏\HD850H1U51-TBL3\S0\FM\ROH,液晶屏面板\T850QVN03.4\JK\FM\ROH,友达(AUO),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,Colombia model,,,,,,
2024/4/14,75A60LXVT,REFLOW,HuangDao,13538,75A60LXVT13538,401578,/,/,/,MT9603BAATAC,是,404839,液晶屏\HD750H1U71-T0L8K1\S4\FM\ROH,液晶屏面板\HV750QUB-F92\FM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"344996
TCON-ZJ贴片单元\RSAG2.908.12360-06TP\ROH",68pin(1250761),,,,,Colombia model,,,,,,
2024/4/18,43A51HUF,3 IN 1,HuangDao,TPD.T962X3.PC703（T）B24082 /Hisense TV,43A51HUFTPD.T962X3.PC703（T）B24082 /Hisense TV,CVTE,/,/,/,主控IC\T962X3Z-J0E\TP\ROH,是,406108,液晶屏\HD425Y1U51-T0LHK5\S0\GM\ROH,液晶屏面板\T430QVN03.7\EC\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"285068
TCON-ZJ贴片单元\RSAG2.908.10595-06TP\ROH",68pin(1250761),,,,,,,,,,,
2024/4/18,50A51HUF,3 IN 1,HuangDao,TPD.T962X3.PC703（T）B24082 /Hisense TV,50A51HUFTPD.T962X3.PC703（T）B24082 /Hisense TV,CVTE,/,/,/,主控IC\T962X3Z-J0E\TP\ROH,是,405734,液晶屏\HD500H1U91-T0LHK2\S0\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(FB0301018427),,,,,,"353464
MIC板组件\RSAG2.908.12678-10\ROH
1312244
高速信号线\FFC-L-10-KP-560-Z2\560\ROH",,,,,
2024/4/18,55A51HUF,3 IN 1,HuangDao,TPD.T962X3.PC703（T）B24082 /Hisense TV,55A51HUFTPD.T962X3.PC703（T）B24082 /Hisense TV,CVTE,/,/,/,主控IC\T962X3Z-J0E\TP\ROH,是,404236,液晶屏\HD550H1U51-T0LHK4\S1\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"313373
TCON-ZJ贴片单元\RSAG2.908.11133-21TP\ROH",68pin(1250761),,,,,,"1316613
远程拾音模组\HS-2D20\ROH
1400499
高速信号线\FFC-L-10-KP-635-Z2\635\ROH",,,,,
2024/4/18,65A51HUF,REFLOW,HuangDao,TD.T962X3.703（T）D23528/Hisense TV,65A51HUFTD.T962X3.703（T）D23528/Hisense TV,CVTE,/,/,/,主控IC\T962X3Z-J0E\TP\ROH,是,405351,液晶屏\HD650H1U51-T0LHB6\S2\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"290410
TCON-ZJ贴片单元\RSAG2.908.11133-01TP\ROH",68pin(1250761),,,,,,,,,,,
2024/4/23,85U86LUA,REFLOW,HuangDao,13493,85U86LUA13493,400917,/,/,/,MT9618GAATAB,否,404193,液晶屏\HD850H6U51-TBL9\S0\GM\ROH,液晶屏面板\T850QVN03.7\JK\GM\ROH,友达(AUO),41pin+51pin(VB1),4K VB1,/,/,/,41pin(1220743)+51pin(FB0301004900),"1316613
远程拾音模组\HS-2D20\ROH","1401929
高速信号线\FFC-L-10-KP-880-Z3\880\ROH",,,Add MIC function/增加远场语音功能,"1316613
远程拾音模组\HS-2D20\ROH
1400499
高速信号线\FFC-L-10-KP-635-Z2\635\ROH",,,,,
2024/5/2,32A35HUR(0011),3 IN 1,JiangMen,13591,32A35HUR(0011)13591,349549,711,30,4.22%,主控IC\T950R4-B5\TP\ROH,否,349847,液晶屏\JHD315H1F71-TXL4B1\S0\ROH\广,液晶屏面板\HV320FHB-F41\ROH,京东方(BOE),51pin(LVDS),2K LVDS,/,/,/,51pin(FB0301004900),,,,,,"1316613
远程拾音模组\HS-2D20\ROH
1400499
高速信号线\FFC-L-10-KP-635-Z2\635\ROH",,,,,
2024/5/2,43A51HUV(1000),3 IN 1,JiangMen,13684,43A51HUV(1000)13684,403739,639,29,4.54%,主控IC\MT9603BAATAC\TP\ROH,是,401132,液晶屏\HD425Y1U01-T0L2\S0\GM\ROH,液晶屏面板\V430DJ1-Q01-D2\GM\ROH,群创(INX),1*68pin(PTP),4K VB1,/,11477,"402269
液晶屏功能板组件\RSAG2.908.12570-02\ROH",68pin(1250761),,,,,,"353464
MIC板组件\RSAG2.908.12678-10\ROH
1312244
高速信号线\FFC-L-10-KP-560-Z2\560\ROH",,,,,
2024/5/2,43A60LXVT,3 IN 1,JiangMen,13867,43A60LXVT13867,403724,698,35,5.01%,主控IC\MT9603BAATAC\TP\ROH,是,403169,液晶屏\HD425Y1U71-T0K5\S0\GM\ROH\广,液晶屏面板\HV430QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"288516
TCON-ZJ贴片单元\RSAG2.908.10545-08TP\ROH",68pin(1250761),,,,,Colombia model,,,,,,
2024/5/2,65A60LXVT,REFLOW,HuangDao,13538,65A60LXVT13538,404473,/,/,/,MT9603BAATAC,是,403254,液晶屏\HD650H1U41-T0LBB6\S0\GM\ROH,液晶屏面板\JR645R3HA3L\EC\GM\ROH,夏普(SHARP),1*68pin(PTP),4K VB1,/,11477,"405713
TCON-ZJ贴片单元\RSAG2.908.51395TP\ROH",68pin(1250761),,,,,Colombia model,"1316613
远程拾音模组\HS-2D20\ROH
1319667
高速信号线\FFC-L-10-KP-690-Z3\690\ROH",,,,,
2024/5/9,43A51HUA,3 IN 1,JiangMen,13684,43A51HUA13684,401452,637,20,3.14%,主控IC\MT9603EAATAC\TP\JK\ROH,是,401132,液晶屏\HD425Y1U01-T0L2\S0\GM\ROH,液晶屏面板\V430DJ1-Q01-D2\GM\ROH,群创(INX),1*68pin(PTP),4K VB1,/,11477,"402269
液晶屏功能板组件\RSAG2.908.12570-02\ROH",68pin(1250761),,,,,,"1316613
远程拾音模组\HS-2D20\ROH
1400584
高速信号线\FFC-L-10-KP-830-Z4\830\/\ROH",,,,,
2024/5/9,75A51HUF,REFLOW,HuangDao,TD.T962X3.703（T）D23528/Hisense TV,75A51HUFTD.T962X3.703（T）D23528/Hisense TV,CVTE,/,/,/,主控IC\T962X3Z-J0E\TP\ROH,是,405350,液晶屏\HD750H1U71-T0LAB1\S1\GM\ROH,液晶屏面板\HV750QUB-F92\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"333442
TCON-ZJ贴片单元\RSAG2.908.12360-05TP\ROH",68pin(1250761),,,,,,,,,,,
2024/5/9,75A51HUA(0039),REFLOW,HuangDao,13493,75A51HUA(0039)13493,402517,/,/,/,MT9618GABTAB,是,404133,液晶屏\HD750H1U74-T0L6\S0\GM\ROH,液晶屏面板\HV750QUB-E95\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"357828
TCON-ZJ贴片单元\RSAG2.908.12847-09TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1318911
高速信号线\FFC-L-10-KP-370-Z2\370\ROH",,,,,,,,,
2024/5/9,55U61GUR,REFLOW,HuangDao,11722,55U61GUR11722,333062,/,/,/,主控IC\MT9010PAATCC\TP\JK\ROH,是,333870,液晶屏\HD550Y3U51-T0LGK4\S0\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"313373
TCON-ZJ贴片单元\RSAG2.908.11133-21TP\ROH",68pin(1250761),,,,,,,,,,,
2024/5/9,65U61GUR,REFLOW,HuangDao,11722,65U61GUR11722,333059,/,/,/,主控IC\MT9010PAATCC\TP\JK\ROH,是,333863,液晶屏\HD650Y3U51-T0LG\S1\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"290410
TCON-ZJ贴片单元\RSAG2.908.11133-01TP\ROH",68pin(1250761),,,,,,,,,,,
2024/5/17,65A51HUA(0039),REFLOW,HuangDao,13493,65A51HUA(0039)13493,402517,/,/,/,MT9618GABTAB,是,403656,液晶屏\HD650H1U74-T0L7B6\S0\GM\ROH,液晶屏面板\HV650QUB-E75\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"403461
TCON-ZJ贴片单元\RSAG2.908.12847-12TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1318911
高速信号线\FFC-L-10-KP-370-Z2\370\ROH",,,,,,,,,
2024/5/23,43A53FUA(0022),REFLOW,HuangDao,12366,43A53FUA(0022)12366,338745,651,30,/,主控IC\MT9612IAATQA\TP\JK\ROH,是,282432,液晶屏\HD425Y1U71-T0L2\S0\GM\ROH,液晶屏面板\HV430QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"308380
TCON-ZJ贴片单元\RSAG2.908.11117-09TP\ROH",68pin(1250761),,,,,,,,,,,
2024/5/23,55A53FUA(0022),3 IN 1,HuangDao,12366,55A53FUA(0022)12366,338240,651,30,4.61%,主控IC\MT9612IAATQA\TP\JK\ROH,是,307940,液晶屏\HD550Y1U51-T0L2\S0\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"313373
TCON-ZJ贴片单元\RSAG2.908.11133-21TP\ROH",68pin(1250761),,,,,,,,,,,
2024/5/29,75A51HUR(0005),REFLOW,HuangDao,51182,75A51HUR(0005)51182,402575,/,/,/,主控IC\TR964-K8E\TP\ROH,是,403082,液晶屏\HD750H1U71-T0L4K1\S0\GM\ROH,液晶屏面板\HV750QUB-F92\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"333442
TCON-ZJ贴片单元\RSAG2.908.12360-05TP\ROH",68pin(1250761),,,,,,,,,,,
2024/5/30,40A33EXVT(0002),3 IN 1,JiangMen,TPD.NT72690T.PB702（T） C23131,40A33EXVT(0002)TPD.NT72690T.PB702（T） C23131,CVTE,/,/,/,主控IC\NT72690TBG-8C2K/W\TP\ROH,是,355407,液晶屏\JHD400H1F03-T0\S0\ROH\广,液晶屏面板\V400HJB-P03-C6\ROH,群创(INX),1*68pin(Mini LVDS),MINI LVDS,Mini11,ZH-MINI-FHD-68_1_1,/,68pin(1250761),,,,,order cancellation,,,,,,
2024/5/30,85A53HUA(0039),REFLOW,HuangDao,13493,85A53HUA(0039)13493,402517,/,/,/,MT9618GABTAB,是,409262,液晶屏\HD850H1U52-T0LF\S0\GM\ROH,液晶屏面板\T850QVN03.7\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"337302
TCON-ZJ贴片单元\RSAG2.908.13222TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1314379
高速信号线\FFC-L-10-KP-545-Z3\545\ROH",,,,,,,,,
2024/5/30,50A53FUA(0022),3 IN 1,HuangDao,12366,50A53FUA(0022)12366,338242,650,30,4.62%,主控IC\MT9612IAATQA\TP\JK\ROH,是,285776,液晶屏\HD500Y1U91-T0L2\S0\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(FB0301018427),,,,,,,,,,,
2024/6/6,65A51HUR(0005),REFLOW,HuangDao,11722,65A51HUR(0005)11722,404606,/,/,/,主控IC\MT9010PAATDA\TP\ROH,是,405302,液晶屏\HD650H1U51-T0L1K2B6\S1\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"290410
TCON-ZJ贴片单元\RSAG2.908.11133-01TP\ROH",68pin(1250761),,,,,,,,,,,
2024/6/6,50A51HUR(0002),3 IN 1,HuangDao,13662,50A51HUR(0002)13662,406548,711,30,4.22%,主控IC\TR964-K8E\TP\ROH,是,408259,液晶屏\HD500H1U91-T0L2B2\S0\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(FB0301018427),,,,,,,,,,,
2024/6/13,85U75LUA,REFLOW,HuangDao,13493,85U75LUA13493,404747,/,/,/,MT9618GABTAB,是,408020,液晶屏\HD850H3U51-T0L1K1\S0\GM\ROH,液晶屏面板\T850QVN03.7\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"337302
TCON-ZJ贴片单元\RSAG2.908.13222TP\ROH",68pin(1250761),"1316613
远程拾音模组\HS-2D20\ROH","1401929
高速信号线\FFC-L-10-KP-880-Z3\880\ROH",,,"the mic model is same 1316613
远程拾音模组\HS-2D20\ROH，New part number replaced the structural shell.","333401
远程拾音MIC板组件\RSAG2.908.12678\ROH",,,,,
2024/6/13,58A60LXVT,3 IN 1,HuangDao,13696,58A60LXVT13696,407473,740,38,5.14%,主控IC\MT9603BAATAC\TP\ROH,是,407468,液晶屏\HD580H1U91-T0L2\S0\FM\ROH,液晶屏面板\CV580U4-L01-V01\FM\ROH,惠科(HKC),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2024/6/13,70A51LMV,REFLOW,HuangDao,13538,70A51LMV13538,402741,/,/,/,MT9603BAATAC,是,405677,液晶屏\HD700H1U41-T0B1\S0\GM\ROH,液晶屏面板\JE695R3HD2L\GM\ROH,夏普(SDP),1*68pin(PTP),4K VB1,/,11477,"405663
TCON-ZJ贴片单元\RSAG2.908.51421TP\ROH",68pin(1250761),,,,,,,,,,,
2024/6/13,65A51HUA(0002),REFLOW,HuangDao,13538,65A51HUA(0002)13538,411915,/,/,/,MT9603EAATAC,是,411914,液晶屏\HD650H1U73-T0L1B6\S1\GM\ROH,液晶屏面板\HV650QUB-F72\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"343804
TCON-ZJ贴片单元\RSAG2.908.11538-07TP\ROH",68pin(1250761),,,,,,,,,,,
2024/6/13,100E75LUA(0002),REFLOW,HuangDao,13512,100E75LUA(0002)13512,357650,/,/,/,MT9618GAATAB,否,357280,液晶屏\HD100H7U62-L8\S0\GM\ROH,液晶屏面板\PTA00GT01-3\GM\ROH,惠科(HKC),41pin+51pin(VB1),4K VB1,/,/,/,41pin(1220743)+51pin(FB0301004900),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1314020
高速信号线\FFC-L-10-KP-765-Z2\765\ROH",,,,,,,,,
2024/6/20,32A35HUA(0002),3 IN 1,JiangMen,TPD.MT9216T.PB705（T）B(23512),32A35HUA(0002)TPD.MT9216T.PB705（T）B(23512),CVTE,/,/,/,主控IC\MT9216HAATHB\TP\JK\ROH,否,410872,液晶屏\JHD315H1F71-TXL4B1\S1\ROH\广,液晶屏面板\HV320FHB-F41\ROH,京东方(BOE),51pin(LVDS),2K LVDS,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2024/6/20,50A51HUA(0047),3 IN 1,HuangDao,13684,50A51HUA(0047)13684,409285,639,27,4.23%,主控IC\MT9603EAATAC\TP\JK\ROH,是,409468,液晶屏\HD500H1U91-T0LHK2\S1\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(FB0301018427),,,,,,,,,,,
2024/7/4,70A60LXVT,REFLOW,HuangDao,13538,70A60LXVT13538,410032,/,/,/,MT9603BAATAC,是,407449,液晶屏\HD700H1U41-T0\S0\FM\ROH,液晶屏面板\JE695R3HD2L\FM\ROH,夏普(SDP),1*68pin(PTP),4K VB1,/,11477,"405663
TCON-ZJ贴片单元\RSAG2.908.51421TP\ROH",68pin(1250761),,,,,,,1265032,WIFI模块\TX7663BU51T\ROH,,,
2024/7/4,70A51LUR,REFLOW,HuangDao,11722,70A51LUR11722,404606,/,/,/,MT9010PAATDA,是,410088,液晶屏\HD700H1U41-T0B1\S1\GM\ROH,液晶屏面板\JE695R3HD2L\GM\ROH,夏普(SDP),1*68pin(PTP),4K VB1,/,11477,"405663
TCON-ZJ贴片单元\RSAG2.908.51421TP\ROH",68pin(1250761),,,,,,,,,,,
